Date,Close
1991-01-02,1000.0
1991-01-03,1001.91
1991-01-04,996.34
1991-01-07,997.61
1991-01-08,1002.78
1991-01-09,998.29
1991-01-10,1001.65
1991-01-11,1005.03
1991-01-14,991.5
1991-01-15,992.83
1991-01-16,991.21
1991-01-17,990.72
1991-01-18,996.18
1991-01-21,1015.3
1991-01-22,1026.19
1991-01-23,1032.89
1991-01-24,1056.45
1991-01-25,1056.04
1991-01-28,1056.2
1991-01-29,1059.07
1991-01-30,1064.93
1991-01-31,1068.98
1991-02-01,1073.94
1991-02-04,1078.14
1991-02-05,1107.12
1991-02-06,1120.17
1991-02-07,1101.46
1991-02-08,1082.14
1991-02-11,1068.6
1991-02-12,1065.79
1991-02-13,1060.37
1991-02-14,1054.81
1991-02-15,1050.96
1991-02-19,1056.24
1991-02-20,1031.96
1991-02-21,1023.31
1991-02-22,1048.93
1991-02-25,1043.19
1991-02-26,1054.85
1991-02-27,1078.14
1991-02-28,1111.26
1991-03-01,1104.9
1991-03-04,1097.36
1991-03-05,1132.24
1991-03-06,1166.8
1991-03-07,1175.58
1991-03-08,1178.49
1991-03-11,1170.63
1991-03-12,1192.05
1991-03-13,1204.4
1991-03-14,1200.9
1991-03-18,1212.13
1991-03-19,1185.98
1991-03-20,1191.67
1991-03-21,1188.13
1991-03-22,1193.88
1991-03-25,1179.3
1991-03-26,1177.89
1991-03-27,1174.29
1991-03-28,1181.74
1991-04-02,1184.99
1991-04-03,1192.49
1991-04-04,1187.57
1991-04-05,1184.08
1991-04-08,1168.31
1991-04-09,1179.55
1991-04-10,1184.7
1991-04-11,1207.72
1991-04-12,1215.33
1991-04-15,1192.18
1991-04-16,1194.99
1991-04-17,1197.32
1991-04-18,1192.96
1991-04-19,1196.1
1991-04-22,1192.38
1991-04-23,1184.1
1991-04-24,1187.47
1991-04-25,1207.72
1991-04-26,1200.13
1991-04-29,1193.97
1991-04-30,1193.3
1991-05-02,1192.35
1991-05-03,1182.37
1991-05-06,1175.4
1991-05-07,1176.21
1991-05-08,1159.43
1991-05-09,1153.3
1991-05-10,1148.36
1991-05-13,1151.27
1991-05-14,1162.19
1991-05-15,1154.74
1991-05-16,1153.16
1991-05-17,1151.64
1991-05-20,1157.44
1991-05-21,1161.2
1991-05-22,1160.39
1991-05-23,1154.47
1991-05-24,1146.08
1991-05-28,1124.72
1991-05-29,1123.74
1991-05-30,1120.41
1991-05-31,1115.61
1991-06-03,1124.62
1991-06-04,1130.39
1991-06-05,1127.82
1991-06-06,1127.49
1991-06-07,1123.57
1991-06-10,1122.61
1991-06-11,1126.32
1991-06-12,1118.19
1991-06-13,1117.0
1991-06-14,1111.48
1991-06-17,1104.95
1991-06-18,1100.46
1991-06-19,1105.46
1991-06-20,1110.09
1991-06-21,1117.51
1991-06-24,1098.57
1991-06-25,1090.52
1991-06-26,1081.13
1991-06-27,1074.37
1991-06-28,1063.87
1991-07-01,1062.26
1991-07-02,1065.35
1991-07-03,1060.75
1991-07-05,1035.64
1991-07-08,1021.14
1991-07-09,1016.58
1991-07-10,997.35
1991-07-11,1007.81
1991-07-12,1020.46
1991-07-15,1018.62
1991-07-16,1013.05
1991-07-17,1010.36
1991-07-18,1009.91
1991-07-19,1005.49
1991-07-22,1000.0
1991-07-23,993.07
1991-07-24,988.6
1991-07-25,984.61
1991-07-26,978.55
1991-07-29,991.92
1991-07-30,988.12
1991-07-31,982.43
1991-08-01,984.32
1991-08-02,972.52
1991-08-05,963.12
1991-08-06,962.84
1991-08-07,956.71
1991-08-08,959.65
1991-08-09,957.55
1991-08-12,953.93
1991-08-13,952.57
1991-08-14,953.24
1991-08-15,953.68
1991-08-16,952.85
1991-08-21,896.07
1991-08-22,919.91
1991-08-23,935.02
1991-08-26,939.87
1991-08-27,943.75
1991-08-28,945.24
1991-08-29,943.48
1991-08-30,936.98
1991-09-03,913.14
1991-09-04,920.3
1991-09-05,922.36
1991-09-06,918.1
1991-09-09,922.6
1991-09-10,914.67
1991-09-11,919.75
1991-09-12,914.13
1991-09-13,920.92
1991-09-16,913.63
1991-09-17,914.7
1991-09-18,911.2
1991-09-19,905.53
1991-09-20,908.43
1991-09-23,895.74
1991-09-24,884.33
1991-09-25,874.66
1991-09-26,880.98
1991-09-27,879.04
1991-09-30,866.18
1991-10-01,866.2
1991-10-02,865.06
1991-10-03,863.75
1991-10-04,864.28
1991-10-07,863.59
1991-10-08,861.45
1991-10-09,860.58
1991-10-10,853.25
1991-10-11,841.98
